"VESSEL","HAUL","CRUISE","HAUL_DATE","LAT","LON","VESSEL_TYPE","DUR","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","OFFICIAL_TOTAL_CATCH","POLLWT","POLLNO","SABLWT","SABLNO","HERRWT","HERRNO","CHIN","CHUM","DEPLOYMENT_DATE","DEPLOYMENT_LATITUDE","DEPLOYMENT_LONGITUDE_CONVERTED","CDQ_CODE","NMFS_AREA","PERFORMANCE"
"A080",80,24719,2021-02-27,55.69,-163.36417,1,6.375,33,43,174.07,172408.34,207716,NA,NA,NA,NA,NA,NA,2021-02-27 13:03:00,5539,16326,"C55",509,1
"A291",169,24753,2021-02-27,56.075,-164.875,2,3.95833333333333,40,50,54.24,53964.45,103783,NA,NA,NA,NA,NA,NA,2021-02-27 14:40:00,5604,16449,NA,509,1
"A045",92,24751,2021-02-24,55.855835,-163.5325,1,4.08333333333333,35,48,92.82,91644.85,119020,NA,NA,NA,NA,NA,NA,2021-02-24 10:17:00,5551,16332,NA,509,1
"A255",71,24756,2021-02-11,56.033335,-163.058335,2,2.08333333333333,35,45,61.99,61653.91,88077,NA,NA,NA,NA,NA,NA,2021-02-11 04:40:00,5601,16306,NA,509,1
"A255",155,24756,2021-02-26,55.76667,-164.58333,2,4.16666666666667,38,52,58.59,57731.4,83665,NA,NA,NA,NA,NA,NA,2021-02-26 03:00:00,5543,16435,NA,509,1
"A255",86,24756,2021-02-15,55.84167,-163.45,2,4.375,38,48,53.28,50434.04,71851,NA,NA,NA,NA,NA,NA,2021-02-15 08:30:00,5552,16325,NA,509,1
"A282",17,24733,2021-01-31,55.975835,-163.2325,1,12.0833333333333,35,45,125.03,111481.7,128138,NA,NA,NA,NA,NA,NA,2021-01-30 21:40:00,5557,16313,NA,509,1
"A093",15,24629,2021-02-09,55.1775,-165.024165,3,5.33333333333333,45,59,115,115000,130342,NA,NA,NA,NA,NA,NA,2021-02-09 14:41:00,5511,16458,NA,517,1
"A282",71,24733,2021-02-17,56.76583,-162.984165,1,8.54166666666667,24,35,156.19,153359.86,154918,NA,NA,NA,NA,NA,NA,2021-02-17 08:10:00,5646,16256,"C54",509,2
"A255",24,24756,2021-02-02,55.63333,-164.091665,2,3.75,41,51,58.06,49005.66,66139,NA,NA,NA,NA,NA,NA,2021-02-02 13:00:00,5538,16402,NA,509,1
"A225",5,24750,2021-02-18,55.28,-164.250835,1,5.83333333333333,38,48,73.43,69473.06,83707,NA,NA,NA,NA,NA,NA,2021-02-18 18:45:00,5516,16414,NA,509,1
"A045",51,24751,2021-02-11,56.27333,-164.195835,1,4.79166666666667,34,47,91.23,90564.07,146072,NA,NA,NA,NA,7,NA,2021-02-11 14:42:00,5616,16412,"C51",509,1
"A093",6,24629,2021-01-30,55.118335,-164.716665,3,7.125,39,52,120,119219.51,146341,NA,NA,NA,NA,NA,NA,2021-01-30 13:35:00,5506,16440,NA,509,1
"A359",34,24636,2021-02-26,56.025415,-164.75486,3,17.0833333333333,38,50,200,199738.05,244925,NA,NA,NA,NA,NA,NA,2021-02-26 16:06:00,5600,16447,NA,509,1
"A041",11,24714,2021-01-28,55.73083,-165.195835,1,5.83333333333333,45,55,127.64,125244.11,195697,NA,NA,NA,NA,16,NA,2021-01-28 05:40:00,5547,16515,NA,517,1
"A091",95,24734,2021-02-22,55.74833,-163.38,1,9.33333333333333,33,45,137.52,133294.96,173120,NA,NA,NA,NA,NA,NA,2021-02-22 19:11:00,5544,16323,NA,509,1
"A091",65,24734,2021-02-13,56.264165,-162.1925,1,6.125,29,41,101.41,100721.12,125901,NA,NA,NA,NA,NA,NA,2021-02-13 10:05:00,5618,16206,NA,516,1
"A041",20,24714,2021-01-31,55.908335,-164.475,1,5.625,34,48,142.55,141115.9,185683,NA,NA,NA,NA,NA,NA,2021-01-31 02:45:00,5553,16428,NA,509,1
"A091",88,24734,2021-02-21,56.010835,-162.59,1,7.54166666666667,29,39,163.09,160845.27,196153,NA,NA,NA,NA,4,NA,2021-02-21 08:28:00,5602,16230,NA,516,1
"A039",80,24769,2021-02-18,55.25833,-164.2,2,4.79166666666667,32,42,68.42,67947.88,84942,NA,NA,NA,NA,NA,NA,2021-02-18 15:55:00,5517,16406,NA,509,1
"A039",76,24769,2021-02-18,55.695,-163.7925,2,12.0833333333333,41,51,35.67,30728.67,44573,NA,NA,NA,NA,NA,NA,2021-02-17 20:15:00,5542,16346,NA,509,1
"A074",33,24767,2021-02-04,55.571665,-164.676665,1,9,43,53,136.58,129872.86,216447,NA,NA,NA,NA,12,NA,2021-02-04 04:19:00,5534,16439,"C55",509,1
"A074",47,24767,2021-02-10,56.32583,-164.1425,1,12.125,34,44,69.23,66223.08,153990,NA,NA,NA,NA,NA,NA,2021-02-10 18:52:00,5621,16355,NA,509,1
"A095",2,24630,2021-01-21,55.183335,-164.425,3,5.58333333333333,35,45,95,95000,82014,NA,NA,NA,NA,NA,NA,2021-01-21 20:46:00,5512,16419,NA,509,1
"A115",139,24712,2021-03-01,55.965835,-162.904165,1,9.95833333333333,29,42,154.52,151575.64,204832,NA,NA,NA,NA,NA,NA,2021-03-01 05:20:00,5554,16249,NA,516,1
"A262",23,24700,2021-02-01,55.9,-164.775,1,11.75,40,50,122.92,100496.91,135803,NA,NA,NA,NA,NA,NA,2021-02-01 06:18:00,5553,16442,"C55",509,1
"A317",11,24703,2021-02-15,56.34,-162.285,3,23.5416666666667,34,44,50,47922.78,63539,NA,NA,NA,NA,NA,NA,2021-02-15 02:50:00,5620,16200,NA,516,2
"A039",11,24697,2021-01-30,55.40083,-163.865835,2,5.79166666666667,35,45,69.39,64298.53,79239,NA,NA,NA,NA,NA,NA,2021-01-30 12:09:00,5524,16350,NA,509,1
"A054",38,24706,2021-02-07,55.78333,-163.73333,1,14.1666666666667,36,48,122.46,119516.56,155211,NA,NA,NA,NA,NA,NA,2021-02-07 06:32:00,5544,16344,NA,509,1
"A069",31,24730,2021-02-01,55.996665,-164.836665,1,8.58333333333333,38,49,93.87,86043.26,116284,NA,NA,NA,NA,NA,NA,2021-02-01 09:54:00,5554,16448,"C52",509,1
"A069",32,24730,2021-02-01,56.10833,-164.879165,1,9.58333333333333,37,48,108.24,105248.61,148171,NA,NA,0.43,3,NA,NA,2021-02-01 14:45:00,5607,16447,NA,509,1
"A291",138,24753,2021-02-24,55.783335,-163.708335,2,10.625,40,50,58.55,56601.08,84487,NA,NA,NA,NA,NA,NA,2021-02-23 20:00:00,5546,16342,NA,509,1
"A291",143,24753,2021-02-24,55.73083,-163.79,2,7.08333333333333,38,48,52.31,50944.01,83516,NA,NA,NA,NA,NA,NA,2021-02-24 07:40:00,5541,16343,NA,509,1
"A291",60,24753,2021-02-06,55.29,-164.48167,2,11.0833333333333,43,53,50.88,46776.6,133601,NA,NA,NA,NA,NA,NA,2021-02-06 04:40:00,5518,16425,NA,509,1
"A291",98,24753,2021-02-12,56.2625,-162.315,2,6.04166666666667,29,39,57.53,55805.64,74630,NA,NA,NA,NA,NA,NA,2021-02-12 21:13:00,5615,16221,NA,516,1
"A291",100,24753,2021-02-13,56.37833,-162.548335,2,5.83333333333333,29,42,59.93,59388.88,69865,NA,NA,NA,NA,NA,NA,2021-02-13 03:15:00,5622,16228,NA,516,1
"A080",75,24719,2021-02-26,55.465,-164.023335,1,17.0416666666667,40,50,128.52,116027.75,150594,NA,NA,NA,NA,NA,NA,2021-02-26 04:41:00,5524,16352,NA,509,1
"A045",82,24751,2021-02-21,55.3775,-164.805835,1,3.125,40,56,81.88,80951.48,172241,NA,NA,NA,NA,NA,NA,2021-02-21 14:39:00,5522,16448,"C51",509,1
"A455",3,24741,2021-01-22,55.18333,-164.48,3,4.91666666666667,41,51,28,25846.15,29474,NA,NA,NA,NA,NA,NA,2021-01-22 06:02:00,5510,16433,NA,509,1
"A041",27,24714,2021-02-02,55.62,-164.06917,1,5.83333333333333,39,49,135.64,129250.78,172332,NA,NA,NA,NA,NA,NA,2021-02-02 14:00:00,5536,16405,NA,509,1
"A091",19,24734,2021-01-30,55.8125,-164.083335,1,8.75,37,49,102.18,97791.72,116835,NA,NA,NA,NA,NA,NA,2021-01-29 22:10:00,5551,16402,NA,509,1
"A091",52,24734,2021-02-10,56.31,-163.849165,1,6.08333333333333,33,45,112.5,111211.36,252767,NA,NA,NA,NA,NA,NA,2021-02-10 11:17:00,5618,16342,"C51",509,1
"A091",107,24734,2021-03-03,55.488335,-163.59,1,1.58333333333333,26,38,98.04,95316.43,127089,NA,NA,NA,NA,NA,NA,2021-03-03 22:00:00,5530,16334,NA,509,1
"A091",87,24734,2021-02-21,55.97833,-162.58833,1,9.25,28,40,108.15,101886.69,125014,NA,NA,NA,NA,NA,NA,2021-02-21 04:08:00,5556,16239,NA,516,1
"A074",20,24767,2021-02-01,56.0875,-163.88167,1,10.75,35,46,113.28,110523.08,124184,NA,NA,NA,NA,NA,NA,2021-02-01 02:52:00,5605,16348,"C56",509,1
"A074",92,24767,2021-02-23,55.76333,-163.516665,1,8.95833333333333,37,47,141.59,133052.9,182267,NA,NA,NA,NA,NA,NA,2021-02-23 02:15:00,5542,16330,NA,509,1
"A327",23,24635,2021-02-26,55.36917,-164.134165,3,5.625,37,51,4.5,4072.36,4827,NA,NA,NA,NA,NA,NA,2021-02-26 14:10:00,5519,16411,NA,509,1
"A262",68,24700,2021-02-15,56.675,-162.508335,1,5.41666666666667,29,38,129.34,117261.35,173749,NA,NA,NA,NA,NA,NA,2021-02-15 21:05:00,5640,16231,NA,516,1
"A574",22,24638,2021-02-23,55.79167,-163.2,3,30.9583333333333,36,46,180,177957.3,226428,NA,NA,NA,NA,NA,NA,2021-02-22 16:36:00,5549,16259,NA,509,1
"A039",4,24697,2021-01-26,55.325,-164.6,2,1.41666666666667,46,56,65,64759.25,113610,NA,NA,NA,NA,NA,NA,2021-01-26 10:38:00,5519,16435,NA,509,1
"A300",6,24763,2021-02-16,55.39361,-163.95514,3,21.0416666666667,45,50,160,144367.08,190470,NA,NA,NA,NA,NA,NA,2021-02-16 02:04:00,5528,16343,NA,509,1
"A238",1,24727,2021-02-03,55.1,-164.7,3,3.16666666666667,41,51,150,150000,175468,NA,NA,NA,NA,NA,NA,2021-02-03 06:15:00,5507,16439,NA,509,1
"A115",56,24712,2021-02-08,55.9575,-163.09,1,12.0833333333333,30,46,111.65,109385.62,135041,NA,NA,NA,NA,NA,NA,2021-02-08 14:40:00,5552,16303,NA,509,1
"A039",46,24697,2021-02-07,55.466665,-164.275,2,12.25,43,53,69.28,64915.66,91435,NA,NA,NA,NA,NA,NA,2021-02-07 00:10:00,5526,16418,NA,509,1
"A041",88,24714,2021-03-02,55.511665,-163.61583,1,3.125,28,38,114.06,112328.07,151796,NA,NA,NA,NA,NA,NA,2021-03-02 16:45:00,5528,16335,NA,509,1
"A069",40,24730,2021-02-06,55.581665,-163.920835,1,3.95833333333333,40,47,101.23,98961.1,126872,NA,NA,NA,NA,3,NA,2021-02-06 07:40:00,5534,16349,NA,509,1
"A054",71,24706,2021-02-20,55.76667,-164.783335,1,8.45833333333333,41,51,136.55,135836.11,251529,NA,NA,NA,NA,NA,NA,2021-02-20 11:10:00,5543,16457,"C52",509,1
"A054",6,24706,2021-01-30,55.783335,-164.05,1,5.95833333333333,36,48,109.41,106035.4,137723,NA,NA,NA,NA,4,NA,2021-01-29 23:54:00,5548,16403,NA,509,1
"A291",54,24753,2021-02-05,55.208335,-164.40833,2,8.54166666666667,40,50,48.74,46614.76,58952,NA,NA,NA,NA,NA,NA,2021-02-05 10:20:00,5512,16426,NA,509,1
"A080",1,24719,2021-01-24,55.2825,-164.300835,1,1.875,42,50,124.12,121468.12,151835,NA,NA,NA,NA,NA,NA,2021-01-24 12:47:00,5515,16419,NA,509,1
"A080",2,24719,2021-01-24,55.279165,-164.39917,1,3.29166666666667,34,50,160.86,158703.14,193547,NA,NA,NA,NA,NA,NA,2021-01-24 19:22:00,5514,16424,NA,509,1
"A291",87,24753,2021-02-11,56.505835,-163.078335,2,13.875,31,41,49.55,48042.23,70652,NA,NA,NA,NA,NA,NA,2021-02-11 14:00:00,5630,16300,NA,509,1
"A291",101,24753,2021-02-13,56.255835,-162.355,2,7.16666666666667,31,41,54.12,53028.6,68853,NA,NA,NA,NA,NA,NA,2021-02-13 05:38:00,5615,16223,NA,516,1
"A291",125,24753,2021-02-22,55.795,-163.134165,2,16.5,37,47,49.3,46305.29,65209,NA,NA,NA,NA,NA,NA,2021-02-22 11:01:00,5547,16300,NA,509,1
"A291",102,24753,2021-02-13,56.394165,-162.566665,2,1.25,30,40,56.25,56082.6,67567,NA,NA,NA,NA,NA,NA,2021-02-13 10:10:00,5624,16232,NA,516,1
"A255",133,24756,2021-02-21,55.33333,-164.783335,2,5.33333333333333,48,56,47.67,47084.62,90541,NA,NA,NA,NA,NA,NA,2021-02-21 15:00:00,5523,16445,NA,509,1
"A255",57,24756,2021-02-09,55.75,-163.566665,2,8.33333333333333,40,50,56.51,54867.92,73156,NA,NA,NA,NA,NA,NA,2021-02-09 07:08:00,5545,16332,NA,509,1
"A282",41,24733,2021-02-09,56.0475,-163.534165,1,3.125,36,46,158.06,156428.79,193121,NA,NA,NA,NA,NA,NA,2021-02-08 23:30:00,5601,16333,"C54",509,1
"A255",122,24756,2021-02-20,55.623055,-164.81736,2,15.2083333333333,44,54,42.7,41166.02,60550,NA,NA,NA,NA,NA,NA,2021-02-19 23:42:00,5538,16444,NA,509,1
"A045",28,24751,2021-02-02,55.69,-164.28083,1,10.75,38,50,97.13,94331.22,125780,NA,NA,NA,NA,NA,NA,2021-02-02 18:17:00,5542,16420,NA,509,1
"A093",8,24629,2021-01-31,55.184165,-164.821665,3,4.54166666666667,38,57,105,105000,342187,NA,NA,NA,NA,NA,NA,2021-01-30 23:15:00,5509,16451,NA,509,1
"A359",18,24636,2021-02-09,55.55875,-164.84361,3,19.6666666666667,44,56,100,97106.75,118723,NA,NA,NA,NA,NA,NA,2021-02-08 16:40:00,5539,16445,NA,509,1
"A115",107,24712,2021-02-22,55.9075,-162.9575,1,9.29166666666667,28,43,154.19,149679.63,207884,NA,NA,NA,NA,NA,NA,2021-02-22 04:15:00,5553,16255,NA,516,1
"A074",25,24767,2021-02-02,56.34333,-164.2675,1,12.8333333333333,34,44,145.22,141993.03,172819,NA,NA,NA,NA,NA,NA,2021-02-02 11:00:00,5618,16411,"C55",509,1
"A115",138,24712,2021-03-01,55.908335,-162.818335,1,14.75,29,41,141.28,134781.53,177937,NA,NA,NA,NA,NA,NA,2021-02-28 22:21:00,5552,16247,NA,516,1
"A327",12,24635,2021-02-05,55.0925,-164.78,3,10.2083333333333,40,54,31.8,28507.85,28942,NA,NA,NA,NA,NA,NA,2021-02-05 02:55:00,5507,16442,NA,509,1
"A262",103,24700,2021-02-28,55.825,-163.141665,1,15.2083333333333,32,42,144.39,141072.59,190637,NA,NA,NA,NA,NA,NA,2021-02-28 03:35:00,5547,16305,NA,509,1
"A262",84,24700,2021-02-20,56.46667,-163.13333,1,5.83333333333333,26,41,180.29,167351.66,253562,NA,NA,NA,NA,NA,NA,2021-02-20 10:25:00,5628,16314,NA,509,1
"A238",9,24727,2021-02-23,55.683335,-163.466665,3,15.625,38,49,110,101706.83,129496,NA,NA,NA,NA,NA,NA,2021-02-22 18:30:00,5545,16323,NA,509,1
"A054",47,24706,2021-02-09,56.1,-163.725,1,3.75,34,46,143.76,142571.57,190096,NA,NA,NA,NA,NA,NA,2021-02-09 14:00:00,5605,16349,"C52",509,1
"A254",7,24602,2021-02-02,55.420835,-164.423335,3,11,41,53,150,142079.74,203664,NA,NA,NA,NA,NA,NA,2021-02-02 14:55:00,5522,16426,NA,509,1
"A279",3,24604,2021-02-16,55.20833,-164.26667,3,3.08333333333333,30,39,36,35599.18,43246,NA,NA,NA,NA,NA,NA,2021-02-16 11:34:00,5511,16419,NA,509,1
"A291",30,24753,2021-02-02,55.64583,-164.389165,2,5.83333333333333,40,52,46.81,45871.93,67985,NA,NA,NA,NA,NA,NA,2021-02-02 13:40:00,5539,16425,NA,509,1
"A255",135,24756,2021-02-23,55.675,-163.466665,2,4.83333333333333,31,45,61.3,60262.49,81427,NA,NA,NA,NA,NA,NA,2021-02-23 12:50:00,5540,16323,NA,509,1
"A255",65,24756,2021-02-10,55.89167,-163.13333,2,3.75,38,48,59.65,59298.13,77011,NA,NA,NA,NA,NA,NA,2021-02-10 08:12:00,5555,16305,NA,509,1
"A282",52,24733,2021-02-12,56.138335,-162.856665,1,8.33333333333333,34,42,139.28,135153.47,180206,NA,NA,NA,NA,NA,NA,2021-02-12 00:35:00,5609,16245,"C54",516,1
"A255",3,24756,2021-01-30,55.325,-164.041665,2,1.20833333333333,32,42,33.27,27249.17,34065,NA,NA,NA,NA,NA,NA,2021-01-30 16:51:00,5519,16403,NA,509,1
"A045",44,24751,2021-02-09,56.125835,-163.69,1,2.75,36,47,89.56,88428.68,121131,NA,NA,NA,NA,NA,NA,2021-02-09 12:14:00,5605,16342,NA,509,1
"A359",31,24636,2021-02-25,55.49931,-163.680695,3,11.8333333333333,32,44,120,101684.21,121263,NA,NA,NA,NA,NA,NA,2021-02-25 10:44:00,5524,16347,NA,509,1
"A091",66,24734,2021-02-16,55.331665,-164.088335,1,10.3333333333333,35,47,113.35,102998.05,137465,NA,NA,NA,NA,5,NA,2021-02-16 05:17:00,5515,16417,NA,509,1
"A091",77,24734,2021-02-18,55.64333,-164.448335,1,5.45833333333333,38,50,129.49,128789.21,198142,NA,NA,NA,NA,NA,NA,2021-02-18 17:20:00,5538,16425,"C51",509,1
"A136",65,24710,2021-02-14,56.47417,-162.97667,1,14.125,29,41,124.49,108576.25,172284,NA,NA,NA,NA,NA,NA,2021-02-13 23:41:00,5627,16249,NA,509,1
"A136",76,24710,2021-02-21,56.385,-163.04917,1,12.6666666666667,29,42,130.61,121814.98,162429,NA,NA,NA,NA,22,NA,2021-02-20 21:06:00,5624,16254,NA,509,2
"A074",1,24767,2021-01-26,55.288335,-164.538335,1,1.04166666666667,40,50,77.01,76558.66,94514,NA,NA,NA,NA,6,NA,2021-01-26 15:32:00,5517,16430,"C56",509,1
"A074",36,24767,2021-02-05,55.30833,-164.769165,1,5.625,44,54,148.42,144899.11,233717,NA,NA,NA,NA,18,NA,2021-02-04 22:41:00,5517,16446,NA,509,1
"A074",41,24767,2021-02-09,56.093335,-163.5625,1,2.875,36,46,147.19,145118.61,188471,NA,NA,NA,NA,NA,NA,2021-02-09 03:18:00,5607,16332,NA,509,1
"A095",11,24630,2021-02-03,55.108335,-164.858335,3,7.75,47,55,180,180000,194548,NA,NA,NA,NA,NA,NA,2021-02-03 14:07:00,5504,16451,NA,509,1
"A115",129,24712,2021-02-27,55.490835,-164.241665,1,12.0833333333333,37,50,133.84,129270.55,201982,NA,NA,NA,NA,NA,NA,2021-02-27 00:40:00,5529,16408,NA,509,1
"A074",107,24767,2021-02-27,56.120835,-164.57,1,8.33333333333333,37,47,117.07,116254.46,190580,NA,NA,NA,NA,8,NA,2021-02-27 09:02:00,5607,16433,NA,509,1
"A262",12,24700,2021-01-26,55.61667,-164.65833,1,3.54166666666667,33,50,178.9,178155.99,237544,NA,NA,NA,NA,NA,NA,2021-01-26 13:15:00,5540,16438,NA,509,2
"A262",99,24700,2021-02-27,56.04167,-164.675,1,20.2083333333333,37,48,179.03,176514.56,284672,NA,NA,NA,NA,NA,NA,2021-02-26 17:55:00,5604,16439,NA,509,1
"A262",92,24700,2021-02-22,55.866665,-163.15,1,5.41666666666667,29,42,111.13,109621.56,148141,NA,NA,NA,NA,3,NA,2021-02-22 11:30:00,5550,16306,NA,509,1
"A254",17,24602,2021-02-16,55.46167,-163.875835,3,15.875,29,40,140,128131.49,181661,NA,NA,NA,NA,NA,NA,2021-02-16 05:56:00,5531,16337,NA,509,1
"A054",26,24706,2021-02-04,55.683335,-164.733335,1,9.04166666666667,37,49,100.25,91902.37,137490,NA,NA,NA,NA,NA,NA,2021-02-03 20:57:00,5542,16443,NA,509,1
"A069",3,24730,2021-01-26,55.5025,-164.391665,1,11.5,42,51,93.61,91483.61,123629,NA,NA,NA,NA,NA,NA,2021-01-26 00:04:00,5532,16419,"C52",509,1
"A069",8,24730,2021-01-27,55.703335,-164.82417,1,6.16666666666667,40,51,106.33,104531,145183,NA,NA,NA,NA,NA,NA,2021-01-27 03:07:00,5544,16449,NA,509,1
"A069",89,24730,2021-02-20,55.795835,-164.7225,1,1.25,43,51,120.39,120031.73,240072,NA,NA,NA,NA,3,NA,2021-02-20 11:27:00,5548,16441,"C52",509,1
"A069",71,24730,2021-02-16,55.401665,-164.003335,1,6.5,41,49,107,103802.42,157273,NA,NA,NA,NA,NA,NA,2021-02-16 08:40:00,5521,16409,NA,509,1
"A054",81,24706,2021-02-23,55.78333,-163.458335,1,6.95833333333333,35,46,113.99,107210.65,139747,NA,NA,NA,NA,NA,NA,2021-02-23 02:47:00,5547,16327,NA,509,1
"A291",65,24753,2021-02-07,55.52917,-164.301665,2,16.6666666666667,40,50,55.86,53061.5,78034,NA,NA,NA,NA,NA,NA,2021-02-06 18:40:00,5525,16420,NA,509,1
"A291",66,24753,2021-02-07,55.45,-164.2,2,11.0416666666667,42,52,46.55,42638.98,60910,NA,NA,NA,NA,NA,NA,2021-02-06 22:05:00,5528,16412,NA,509,1
"A255",139,24756,2021-02-24,55.70972,-163.617365,2,11.7083333333333,35,50,61.52,59016.59,78174,NA,NA,NA,NA,NA,NA,2021-02-24 02:00:00,5544,16334,NA,509,1
"A255",125,24756,2021-02-20,55.675,-164.775,2,17.0833333333333,45,55,59.96,58417.42,95755,NA,NA,NA,NA,5,NA,2021-02-20 04:40:00,5536,16449,NA,509,2
"A255",147,24756,2021-02-25,55.67083,-164.167085,2,15.125,37,52,53.48,49559.33,71614,NA,NA,NA,NA,NA,NA,2021-02-25 02:05:00,5539,16406,NA,509,1
"A093",22,24629,2021-02-25,55.450835,-163.945,3,3.75,36,49,65,65000,83040,NA,NA,NA,NA,NA,NA,2021-02-25 12:31:00,5526,16400,NA,509,1
"A282",88,24733,2021-02-25,55.764165,-164.4325,1,7.08333333333333,40,50,197.53,194191.3,294217,NA,NA,1.9,7,7,NA,2021-02-25 18:40:00,5543,16427,"C54",509,1
"A225",20,24750,2021-02-22,55.46583,-164.948335,1,3.33333333333333,42,55,86.66,86280.18,287598,NA,NA,0.84,6,3,NA,2021-02-22 13:45:00,5527,16457,NA,509,1
"A225",31,24750,2021-02-26,55.39,-164.071665,1,3.54166666666667,39,49,91.65,77823.91,100396,NA,NA,NA,NA,NA,NA,2021-02-26 01:10:00,5521,16404,NA,509,1
"A045",68,24751,2021-02-18,55.16417,-164.46,1,3.08333333333333,32,44,91.8,90290.57,110108,NA,NA,NA,NA,NA,NA,2021-02-18 13:05:00,5510,16427,"C51",509,1
"A045",83,24751,2021-02-22,55.41583,-164.955,1,11.875,45,57,95.89,90070.26,152167,NA,NA,0.58,3,3,NA,2021-02-21 20:15:00,5524,16455,NA,509,2
"A149",1,24620,2021-02-02,55.32708,-164.77,3,4.54166666666667,48,58,106,106000,285303,NA,NA,NA,NA,NA,NA,2021-02-02 08:21:00,5517,16444,NA,509,1
"A041",7,24714,2021-01-26,55.33,-164.524165,1,8.95833333333333,42,52,137.41,132105.16,269595,NA,NA,1.1,5,NA,NA,2021-01-26 18:40:00,5519,16425,NA,509,1
"A041",24,24714,2021-02-01,56.118335,-164.78583,1,16.6666666666667,38,48,109.02,106285.88,141792,NA,NA,NA,NA,NA,NA,2021-02-01 08:30:00,5604,16446,"C56",509,1
"A091",44,24734,2021-02-08,55.981665,-163.254165,1,3.5,35,47,131.46,129960.73,158494,NA,NA,NA,NA,3,NA,2021-02-08 13:23:00,5556,16315,NA,509,1
"A074",56,24767,2021-02-13,56.37,-162.295,1,18.2916666666667,28,38,113.82,103657.79,146738,NA,NA,NA,NA,NA,NA,2021-02-12 23:33:00,5628,16219,NA,516,2
"A074",66,24767,2021-02-15,56.2125,-162.605835,1,13.9583333333333,30,40,77.04,70385.33,94978,NA,NA,NA,NA,NA,3,2021-02-15 10:47:00,5617,16238,NA,516,1
"A115",117,24712,2021-02-24,55.7075,-163.7825,1,10,31,49,197.84,191455.05,299154,NA,NA,NA,NA,8,NA,2021-02-24 05:45:00,5545,16343,NA,509,1
"A074",58,24767,2021-02-13,56.184165,-162.321665,1,6.375,27,37,138.27,135860.27,167729,NA,NA,NA,NA,NA,NA,2021-02-13 10:40:00,5611,16221,"C53",516,1
"A074",72,24767,2021-02-16,56.796665,-162.630835,1,3.33333333333333,21,31,63.92,63524.06,77466,NA,NA,NA,NA,NA,NA,2021-02-16 18:14:00,5647,16237,"C56",516,1
"A262",14,24700,2021-01-27,55.758335,-164.875,1,7.29166666666667,35,50,151.48,148628.9,198171,NA,NA,NA,NA,NA,NA,2021-01-27 07:55:00,5546,16451,"C55",509,1
"A262",73,24700,2021-02-17,56.683335,-163.075,1,12.0833333333333,25,35,110.03,100921.94,144772,NA,NA,1.08,6,3,NA,2021-02-17 06:30:00,5643,16304,NA,509,2
"A262",76,24700,2021-02-18,56.633335,-163.18333,1,4.375,22,37,144.63,137264.61,188034,NA,NA,NA,NA,5,NA,2021-02-18 00:15:00,5640,16317,NA,509,1
"A115",22,24712,2021-01-29,55.73917,-163.71167,1,15.4166666666667,23,43,42.82,40075.48,54897,NA,NA,NA,NA,6,NA,2021-01-29 06:45:00,5539,16335,NA,509,1
"A300",14,24763,2021-02-22,55.65653,-163.497635,3,7.29166666666667,43,44,50,46146.79,64220,NA,NA,NA,NA,NA,NA,2021-02-22 20:39:00,5538,16334,NA,509,2
"A039",21,24697,2021-02-01,55.394165,-164.2675,2,4.91666666666667,43,53,66.58,66119.19,93129,NA,NA,NA,NA,NA,NA,2021-02-01 11:00:00,5521,16417,NA,509,1
"A039",31,24697,2021-02-03,55.38333,-164.525,2,2.54166666666667,44,54,69.01,68138.24,106463,NA,NA,NA,NA,6,NA,2021-02-03 17:37:00,5523,16434,NA,509,1
"A054",31,24706,2021-02-05,55.575,-164.9,1,7.95833333333333,44,56,128.41,125414.93,191296,NA,NA,NA,NA,NA,NA,2021-02-05 03:00:00,5535,16452,NA,509,1
"A054",61,24706,2021-02-17,55.566665,-164.175,1,6.625,39,49,131.47,127370.63,177156,NA,NA,NA,NA,NA,NA,2021-02-17 19:30:00,5530,16411,NA,509,1
"A069",69,24730,2021-02-16,55.3425,-164.133335,1,3.25,40,49,108.26,95011.64,120273,NA,NA,NA,NA,NA,NA,2021-02-16 04:38:00,5519,16411,NA,509,1
"A054",10,24706,2021-01-30,55.858335,-164.233335,1,3.45833333333333,36,48,108.69,106665.9,164082,NA,NA,0.24,5,5,NA,2021-01-30 21:02:00,5549,16415,NA,509,1
"A291",14,24753,2021-01-31,56.00667,-163.589165,2,6.25,39,49,29.74,29540.46,33579,NA,NA,NA,NA,NA,NA,2021-01-31 10:30:00,5600,16331,NA,509,5
"A255",41,24756,2021-02-04,55.341665,-164.075,2,5.33333333333333,32,42,58.51,53829.52,76873,NA,NA,NA,NA,NA,NA,2021-02-04 16:48:00,5518,16404,NA,509,1
"A255",53,24756,2021-02-08,55.633335,-163.725,2,2.875,38,48,60.17,59103.32,79630,NA,NA,NA,NA,5,NA,2021-02-08 18:00:00,5539,16341,NA,509,1
"A255",54,24756,2021-02-08,55.708335,-163.60833,2,1.875,36,50,48.11,44931.31,58304,NA,NA,NA,NA,NA,NA,2021-02-08 18:07:00,5543,16335,NA,509,1
"A282",39,24733,2021-02-08,55.868335,-163.075835,1,7.5,35,45,99.76,98038.44,121042,NA,NA,NA,NA,12,NA,2021-02-08 14:25:00,5549,16308,"C54",509,1
